page_code,page_number,domain_ID,book_components,part,topic,table_name
pc0250,232,06,本編,行政,財政,市歳出決算4-5
pc0251,233,06,本編,行政,財政,市歳出決算4-5
pc0252,234,06,本編,行政,財政,市歳出決算4-5
pc0253,235,06,本編,行政,財政,市歳出決算4-6
pc0254,236,06,本編,行政,財政,市歳出決算4-6
pc0255,237,06,本編,行政,財政,市歳出決算4-6
pc0256,238,06,本編,行政,財政,区-市特別会計歳入歳出決算
pc0257,239,06,本編,行政,財政,区-市特別会計歳入歳出決算
pc0258,240,06,本編,行政,財政,区内共有金1_会社銀行年賦寄付金
pc0259,241,06,本編,行政,財政,区内共有金1_会社銀行年賦寄付金
pc0260,242,06,本編,行政,財政,区内共有金2_備荒貯蓄金
pc0261,243,06,本編,行政,財政,区内共有金2_備荒貯蓄金
pc0262,244,06,本編,行政,財政,教育蓄積金-公立小学校費-函館女学校費
pc0263,245,06,本編,行政,財政,教育蓄積金-公立小学校費-函館女学校費
pc0264,246,06,本編,行政,財政,共有基本金
pc0265,247,06,本編,行政,財政,共有基本金
pc0266,248,06,本編,行政,財政,共有基本金
pc0267,249,06,本編,行政,財政,私立小学校経費(参考)
pc0268,250,06,本編,行政,財政,育児費-育児特別基本金
pc0269,251,06,本編,行政,財政,育児費-育児特別基本金
pc0270,252,06,本編,行政,財政,水道起業蓄積金_水道副管調査費_函館水道費_函館水道増設工事費_赤川水源測量費
pc0271,253,06,本編,行政,財政,水道保存蓄積金_若松町海面埋立工事_函館港改良工事
pc0272,254,06,本編,行政,財政,給水工事費_上水道拡張費_温泉費
pc0273,255,06,本編,行政,財政,給水工事費_上水道拡張費_温泉費
pc0274,256,06,本編,行政,財政,水道費
pc0275,257,06,本編,行政,財政,水道費
pc0276,258,06,本編,行政,財政,水道費
pc0277,259,06,本編,行政,財政,水道費
pc0278,260,06,本編,行政,財政,水道事業費
pc0279,261,06,本編,行政,財政,復興事業費_結核予防並窮民治療事業資金
pc0280,262,06,本編,行政,財政,基本財産
pc0281,263,06,本編,行政,財政,基本財産
pc0282,264,06,本編,行政,財政,特別基本財産_窮民救助費_窮民救助費特別基本財産
pc0283,265,06,本編,行政,財政,特別基本財産_窮民救助費_窮民救助費特別基本財産
pc0284,266,06,本編,行政,財政,特別基本財産_窮民救助費
pc0285,267,06,本編,行政,財政,特別基本財産_窮民救助費
pc0286,268,06,本編,行政,財政,社会事業資金_慈善事業資金_教育基本財産
pc0287,269,06,本編,行政,財政,社会事業資金_慈善事業資金_教育基本財産
pc0288,270,06,本編,行政,財政,社会事業資金_慈善事業資金_木島社会事業資金
pc0289,271,06,本編,行政,財政,公益質屋費
pc0290,272,06,本編,行政,財政,公益質屋費
pc0291,273,06,本編,行政,財政,公益質屋費
pc0292,274,06,本編,行政,財政,交通事業費1_交通事業資金
pc0293,275,06,本編,行政,財政,交通事業費2
pc0294,276,06,本編,行政,財政,区立病院費_区立病院維持蓄積金
pc0295,277,06,本編,行政,財政,区立病院費_区立病院維持蓄積金
pc0296,278,06,本編,行政,財政,函館病院費1
pc0297,279,06,本編,行政,財政,函館病院費1
pc0298,280,06,本編,行政,財政,函館病院費1
pc0299,281,06,本編,行政,財政,函館病院費1
pc0300,282,06,本編,行政,財政,函館病院費1
pc0301,283,06,本編,行政,財政,函館病院費1
pc0302,284,06,本編,行政,財政,函館病院費2-1
pc0303,285,06,本編,行政,財政,函館病院費2-1
pc0304,286,06,本編,行政,財政,函館病院費2-1
pc0305,287,06,本編,行政,財政,函館病院費2-2
pc0306,288,06,本編,行政,財政,函館病院費2-1
pc0307,289,06,本編,行政,財政,函館病院費2-1
pc0308,290,06,本編,行政,財政,大森町有財産
pc0309,291,06,本編,行政,財政,大森町有財産
pc0310,292,06,本編,行政,財政,自転車競争事業費1_自転車競争事業費2
pc0311,293,06,本編,行政,財政,自転車競争事業費1_自転車競争事業費2
pc0312,294,06,本編,行政,財政,自転車競争事業費1_自転車競争事業費2
pc0313,295,06,本編,行政,財政,魚卸売市場事業費
pc0314,296,06,本編,行政,財政,奨学資金
pc0315,297,06,本編,行政,財政,奨学資金
pc0316,298,06,本編,行政,財政,港湾事業費1
pc0317,299,06,本編,行政,財政,港湾事業費1
pc0318,300,06,本編,行政,財政,港湾事業費2-1
pc0319,301,06,本編,行政,財政,港湾事業費2-1
pc0320,302,06,本編,行政,財政,港湾事業費2-1
pc0321,303,06,本編,行政,財政,港湾事業費2-2
pc0322,304,06,本編,行政,財政,港湾事業費2-2
pc0323,305,06,本編,行政,財政,港湾事業費2-2
pc0324,306,06,本編,行政,財政,と畜場費
pc0325,307,06,本編,行政,財政,と畜場費_国民健康保険事業費1
pc0326,308,06,本編,行政,財政,国民健康保険事業費2
pc0327,309,06,本編,行政,財政,国民健康保険事業費2
pc0328,310,06,本編,行政,財政,国民健康保険事業費2
pc0329,311,06,本編,行政,財政,下水道事業費
pc0330,312,06,本編,行政,財政,下水道事業費
pc0331,313,06,本編,行政,財政,下水道事業費
pc0332,314,06,本編,行政,財政,交通災害共済事業費_育英資金_中央卸売市場事業
pc0333,315,06,本編,行政,財政,交通災害共済事業費_育英資金_社会福祉施設整備資金
pc0334,316,06,本編,行政,財政,企業会計水道事業1-1
pc0335,317,06,本編,行政,財政,企業会計水道事業1-1
pc0336,318,06,本編,行政,財政,企業会計水道事業1-1
pc0337,319,06,本編,行政,財政,企業会計水道事業1-1
pc0338,320,06,本編,行政,財政,企業会計水道事業1-1
pc0339,321,06,本編,行政,財政,企業会計水道事業1-2
pc0340,322,06,本編,行政,財政,企業会計水道事業1-2
pc0341,323,06,本編,行政,財政,企業会計水道事業1-2
pc0342,324,06,本編,行政,財政,企業会計水道事業1-2
pc0343,325,06,本編,行政,財政,企業会計水道事業1-2
pc0344,326,06,本編,行政,財政,企業会計温泉事業1-1
pc0345,327,06,本編,行政,財政,企業会計温泉事業1-1
pc0346,328,06,本編,行政,財政,企業会計温泉事業1-2
pc0347,329,06,本編,行政,財政,企業会計温泉事業1-2
pc0348,330,06,本編,行政,財政,企業会計交通事業1-1
pc0349,331,06,本編,行政,財政,企業会計交通事業1-1
pc0350,332,06,本編,行政,財政,企業会計交通事業1-1
pc0351,333,06,本編,行政,財政,企業会計交通事業1-1
pc0352,334,06,本編,行政,財政,企業会計交通事業1-1
pc0353,335,06,本編,行政,財政,企業会計交通事業1-2
pc0354,336,06,本編,行政,財政,企業会計交通事業1-2
pc0355,337,06,本編,行政,財政,企業会計交通事業1-2
pc0356,338,06,本編,行政,財政,企業会計交通事業1-2
pc0357,339,06,本編,行政,財政,企業会計交通事業1-2
pc0358,340,06,本編,行政,財政,企業会計病院事業1-1
pc0359,341,06,本編,行政,財政,企業会計病院事業1-1
pc0360,342,06,本編,行政,財政,企業会計病院事業1-1
pc0361,343,06,本編,行政,財政,企業会計病院事業1-2
pc0362,344,06,本編,行政,財政,企業会計病院事業1-2
pc0363,345,06,本編,行政,財政,企業会計病院事業1-2
pc0364,346,06,本編,行政,財政,企業会計病院事業1-3
pc0365,347,06,本編,行政,財政,企業会計病院事業1-3
pc0366,348,06,本編,行政,財政,企業会計病院事業1-3
pc0367,349,06,本編,行政,財政,企業会計中央卸売市場事業
pc0368,350,06,本編,行政,財政,企業会計港湾埋立事業
pc0369,351,06,本編,行政,財政,企業会計港湾埋立事業
pc0370,352,06,本編,行政,財政,区税
pc0371,353,06,本編,行政,財政,区税
pc0372,354,06,本編,行政,財政,区税
pc0373,355,06,本編,行政,財政,市税1
pc0374,356,06,本編,行政,財政,市税2
pc0375,357,06,本編,行政,財政,市税2
pc0376,358,06,本編,行政,財政,市税3
pc0377,359,06,本編,行政,財政,市税3
pc0378,360,06,本編,行政,財政,地方税
pc0379,361,06,本編,行政,財政,地方税
pc0380,362,06,本編,行政,財政,地方税
pc0381,363,06,本編,行政,財政,地方税
pc0382,364,06,本編,行政,財政,国税
pc0383,365,06,本編,行政,財政,国税
pc0384,366,07,本編,行政,選挙,区会議員選挙
pc0385,367,07,本編,行政,選挙,区会議員選挙
pc0386,368,07,本編,行政,選挙,区会議員選挙
pc0387,369,07,本編,行政,選挙,区会議員選挙
pc0388,370,07,本編,行政,選挙,区会議員選挙
pc0389,371,07,本編,行政,選挙,区会議員選挙
pc0390,372,07,本編,行政,選挙,区会議員選挙
pc0391,373,07,本編,行政,選挙,区会議員選挙
pc0392,374,07,本編,行政,選挙,区会議員選挙
pc0393,375,07,本編,行政,選挙,区会議員選挙
pc0394,376,07,本編,行政,選挙,区会議員選挙
pc0395,377,07,本編,行政,選挙,区会議員選挙
pc0396,378,07,本編,行政,選挙,区会議員選挙
pc0397,379,07,本編,行政,選挙,市会議員選挙
pc0398,380,07,本編,行政,選挙,市会議員選挙
pc0399,381,07,本編,行政,選挙,市会議員選挙
pc0400,382,07,本編,行政,選挙,市会議員選挙
pc0401,383,07,本編,行政,選挙,市会議員選挙
pc0402,384,07,本編,行政,選挙,市会議員選挙
pc0403,385,07,本編,行政,選挙,函館区-市会議員選挙執行状況
pc0404,386,07,本編,行政,選挙,北海道議会議員選挙
pc0405,387,07,本編,行政,選挙,北海道議会議員選挙
pc0406,388,07,本編,行政,選挙,北海道議会議員選挙
pc0407,389,07,本編,行政,選挙,北海道議会議員選挙
pc0408,390,07,本編,行政,選挙,衆議院議員選挙
pc0409,391,07,本編,行政,選挙,衆議院議員選挙
pc0410,392,07,本編,行政,選挙,衆議院議員選挙
pc0411,393,07,本編,行政,選挙,衆議院議員選挙執行状況
pc0412,394,07,本編,行政,選挙,参議院議員北海道地方区選挙
pc0413,395,07,本編,行政,選挙,参議院議員北海道地方区選挙
pc0414,396,07,本編,空白,,
pc0415,397,08,中扉,産業-経済,,
pc0416,398,08,本編,産業-経済,農業,農業戸数-人口-耕地
pc0417,399,08,本編,産業-経済,農業,農業戸数-人口-耕地
pc0418,400,08,本編,産業-経済,農業,農家数-農家人口
pc0419,401,08,本編,産業-経済,農業,経営耕地別面積
pc0420,402,08,本編,産業-経済,農業,主要農作物作付面積(戦前)
pc0421,403,08,本編,産業-経済,農業,主要農作物作付面積(戦前)
pc0422,404,08,本編,産業-経済,農業,主要農作物作付面積(戦後)
pc0423,405,08,本編,産業-経済,農業,主要農作物作付面積(戦後)
pc0424,406,08,本編,産業-経済,農業,家畜-家舎
pc0425,407,08,本編,産業-経済,農業,家畜飼養戸数-頭数
pc0426,408,09,本編,産業-経済,漁業,生売水産物数量
pc0427,409,09,本編,産業-経済,漁業,生売水産物数量
pc0428,410,09,本編,産業-経済,漁業,生売水産物金額
pc0429,411,09,本編,産業-経済,漁業,生売水産物金額
pc0430,412,09,本編,産業-経済,漁業,輸出生魚数量-金額
pc0431,413,09,本編,産業-経済,漁業,輸出生魚数量-金額
pc0432,414,09,本編,産業-経済,漁業,製造水産物水量1-1
pc0433,415,09,本編,産業-経済,漁業,製造水産物水量1-1
pc0434,416,09,本編,産業-経済,漁業,製造水産物水量1-1
pc0435,417,09,本編,産業-経済,漁業,製造水産物水量1-2
pc0436,418,09,本編,産業-経済,漁業,製造水産物水量1-2
pc0437,419,09,本編,産業-経済,漁業,製造水産物水量1-2
pc0438,420,09,本編,産業-経済,漁業,製造水産物金額1-1
pc0439,421,09,本編,産業-経済,漁業,製造水産物金額1-1
pc0440,422,09,本編,産業-経済,漁業,製造水産物金額1-1
pc0441,423,09,本編,産業-経済,漁業,製造水産物金額1-2
pc0442,424,09,本編,産業-経済,漁業,製造水産物金額1-2
pc0443,425,09,本編,産業-経済,漁業,製造水産物金額1-2
pc0444,426,09,本編,産業-経済,漁業,水産製品生産量1-1
pc0445,427,09,本編,産業-経済,漁業,水産製品生産量1-1
pc0446,428,09,本編,産業-経済,漁業,水産製品生産量1-1
pc0447,429,09,本編,産業-経済,漁業,水産製品生産量1-1
pc0448,430,09,本編,産業-経済,漁業,水産製品生産量1-2
pc0449,431,09,本編,産業-経済,漁業,水産製品生産量1-2
pc0450,432,09,本編,産業-経済,漁業,水産製品生産量1-2
pc0451,433,09,本編,産業-経済,漁業,水産製品生産量1-3
pc0452,434,09,本編,産業-経済,漁業,水産製品生産量1-3
pc0453,435,09,本編,産業-経済,漁業,水産製品生産量1-3
pc0454,436,09,本編,産業-経済,漁業,水産製品生産量1-3
pc0455,437,09,本編,産業-経済,漁業,水産製品生産量1-3
pc0456,438,09,本編,産業-経済,漁業,水産製品生産金額1-1
pc0457,439,09,本編,産業-経済,漁業,水産製品生産金額1-1
pc0458,440,09,本編,産業-経済,漁業,水産製品生産金額1-1
pc0459,441,09,本編,産業-経済,漁業,水産製品生産金額1-1
pc0460,442,09,本編,産業-経済,漁業,水産製品生産金額1-2
pc0461,443,09,本編,産業-経済,漁業,水産製品生産金額1-2
pc0462,444,09,本編,産業-経済,漁業,水産製品生産金額1-2
pc0463,445,09,本編,産業-経済,漁業,水産製品生産金額1-2
pc0464,446,09,本編,産業-経済,漁業,水産製品生産金額1-3
pc0465,447,09,本編,産業-経済,漁業,水産製品生産金額1-3
pc0466,448,09,本編,産業-経済,漁業,水産製品生産金額1-3
pc0467,449,09,本編,産業-経済,漁業,水産製品生産金額1-3
pc0468,450,09,本編,産業-経済,漁業,魚種別漁獲量
pc0469,451,09,本編,産業-経済,漁業,魚種別漁獲金額
pc0470,452,09,本編,産業-経済,漁業,魚種別漁獲量
pc0471,453,09,本編,産業-経済,漁業,魚種別漁獲量
pc0472,454,09,本編,産業-経済,漁業,魚種別漁獲量
pc0473,455,09,本編,産業-経済,漁業,魚種別漁獲量
pc0474,456,09,本編,産業-経済,漁業,魚種別漁獲金額
pc0475,457,09,本編,産業-経済,漁業,魚種別漁獲金額
pc0476,458,09,本編,産業-経済,漁業,魚種別漁獲金額
pc0477,459,09,本編,産業-経済,漁業,魚種別漁獲金額
pc0478,460,09,本編,産業-経済,漁業,漁業別漁獲量
pc0479,461,09,本編,産業-経済,漁業,漁業別漁獲金額
pc0480,462,09,本編,産業-経済,漁業,漁業別漁獲量
pc0481,463,09,本編,産業-経済,漁業,漁業別漁獲金額
pc0482,464,09,本編,産業-経済,漁業,漁業別漁獲金額
pc0483,465,09,本編,産業-経済,漁業,漁業別漁獲金額
pc0484,466,09,本編,産業-経済,漁業,漁業別漁獲金額
pc0485,467,09,本編,産業-経済,漁業,漁業別漁獲金額
pc0486,468,09,本編,産業-経済,漁業,水産業家戸数-人口
pc0487,469,09,本編,産業-経済,漁業,魚網-漁船
pc0488,470,09,本編,産業-経済,漁業,漁網
