table_id,page_number,table_name
TBL-0077,247,共有基本金(明治21-43)
TBL-0077,248,共有基本金(明治21-43)
TBL-0078,249,私立小学校経費(参考)
TBL-0079,250,育児費・育児特別基本金(明治25-39)
TBL-0079,251,育児費・育児特別基本金(明治25-39)
TBL-0080,252,水道起業蓄積金(明治17-22)
TBL-0081,252,水道副管調査費(明治27)
TBL-0082,252,函館水道費(明治29)
TBL-0083,252,函館水道増設工事費(明治30)
TBL-0084,252,赤川水源測量費(明治30)
TBL-0085,253,水道保存蓄積金(明治26-32)
TBL-0086,253,若松町海面埋立工事(明治30-33)
TBL-0087,253,函館港改良工事(明治29-33)
TBL-0088,254,給水工事費(明治32-41)
TBL-0089,254,上水道拡張費(大正6-12)
TBL-0090,254,温泉費(昭和15-22)
TBL-0088,255,給水工事費(明治32-41)
TBL-0089,255,上水道拡張費(大正6-12)
TBL-0090,255,温泉費(昭和15-22)
TBL-0091,256,水道費(大正13-昭和22)
TBL-0091,257,水道費(大正13-昭和22)
TBL-0091,258,水道費(大正13-昭和22)
TBL-0091,259,水道費(大正13-昭和22)
TBL-0092,260,水道事業費(昭和23-27)
TBL-0093,261,復興事業費(昭和9-15)
TBL-0094,261,結核予防並窮民治療事業資金(昭和12-14)
TBL-0095,262,基本財産(明治40-昭和14)
TBL-0095,263,基本財産(明治40-昭和14)
TBL-0096,264,特別基本財産(明治44-昭和14)大正11年より施薬救療資金特別基本財産
TBL-0097,264,窮民救助費(大正元-昭和14)大正11年より賑恤救済資金特別基本財産
TBL-0098,264,窮民救助費特別基本財産(大正元-11)
TBL-0096,265,特別基本財産(明治44-昭和14)大正11年より施薬救療資金特別基本財産
TBL-0097,265,窮民救助費(大正元-昭和14)大正11年より賑恤救済資金特別基本財産
TBL-0098,265,窮民救助費特別基本財産(大正元-11)
TBL-0096,266,特別基本財産(明治44-昭和14)大正11年より施薬救療資金特別基本財産
TBL-0097,266,窮民救助費(大正元-昭和14)大正11年より賑恤救済資金特別基本財産
TBL-0096,267,特別基本財産(明治44-昭和14)大正11年より施薬救療資金特別基本財産
TBL-0097,267,窮民救助費(大正元-昭和14)大正11年より賑恤救済資金特別基本財産
TBL-0099,268,社会事業資金(大正11-昭和14)
TBL-0100,268,慈善事業資金(大正12-昭和14)
TBL-0099,269,社会事業資金(大正11-昭和14)
TBL-0100,269,慈善事業資金(大正12-昭和14)
TBL-0099,270,社会事業資金(大正11-昭和14)
TBL-0100,270,慈善事業資金(大正12-昭和14)
TBL-0101,270,木島社会事業資金(昭和8-14)
TBL-0102,271,公益質屋費(昭和3-22)
TBL-0102,272,公益質屋費(昭和3-22)
TBL-0102,273,公益質屋費(昭和3-22)
TBL-0103,274,交通事業費1(昭和18-22)
TBL-0104,274,交通事業資金(昭和19-22)
TBL-0105,275,交通事業費2(昭和23-27)
TBL-0106,276,区立病院費(明治14-29)
TBL-0107,276,区立病院維持蓄積金(明治25-32)
TBL-0106,277,区立病院費(明治14-29)
TBL-0107,277,区立病院維持蓄積金(明治25-32)
TBL-0108,278,函館病院費1(大正元-昭和22)
TBL-0108,279,函館病院費1(大正元-昭和22)
TBL-0108,280,函館病院費1(大正元-昭和22)
